submitted_on  ,latitude  ,longitude  ,gps_method  ,district  ,traditional_authority  ,group_village_headman  ,village  ,well_being_analysis  ,household_id  ,respondent_gender  ,attended_school  ,highest_education_qualification  ,marital_status  ,religion  ,main_income_source  ,monthly_family_income  ,household_size  ,main_water_source  ,waterpoint_functional_status  ,nonfunctional_reason  ,waterpoint_current_issues  ,waterpoint_current_problem  ,waterpoint_current_problem_other  ,water_collection_time_minutes  ,seasonal_water_shortage  ,shortage_months  ,daily_water_use_buckets  ,has_water_tariff  ,no_tariff_reason  ,no_tariff_reason_other  ,waterpoint_breakdown_response  ,willing_to_pay_for_improvement  ,current_tariff_kwacha  ,current_tariff_unknown  ,max_tariff_willing_to_pay  ,satisfaction_service_level  ,satisfaction_maintenance_fund  ,satisfaction_sanitation_hygiene  ,satisfaction_theft_protection  ,satisfaction_water_quality  
9/21/2021,-15.3341408,35.3841864,GPS,Zomba,Malemia,Chisutu,Chasuma,Stepping-up,33,Male ,Yes,Primary,Married ,Christian, Income from piecework or ganyu,"Below K100,000",4,Borehole or tubewell,Functional,NA,No,NA,NA,30,Yes,October,5,Yes ,NA,NA,NA,NA,200,NA,4000, Very satisfied, Very satisfied, Very satisfied, Satisfied, Satisfied
9/21/2021,-15.3337437,35.383913,GPS,Zomba,Malemia,Chisutu,Chasuma,Stepping-out,34,Male ,No,NA,Married ,Christian, Income from piecework or ganyu,"Below K100,000",2,Borehole or tubewell,Functional,NA,No,NA,NA,5,No,NA,4,Yes ,NA,NA,NA,NA,200,NA,40000, Somewhat satisfied, Very satisfied, Satisfied, Satisfied, Very satisfied
9/21/2021,-15.3378179,35.3863392,GPS,Zomba,Malemia,Chisutu,Chisutu,Hanging-in,24,Male ,No,NA,Married ,Muslim, Income from piecework or ganyu,"Below K100,000",7,Borehole or tubewell,Functional,NA,No,NA,NA,5,No,NA,7,Yes ,NA,NA,NA,NA,500,NA,2000, Very satisfied, Very satisfied, Very satisfied, Satisfied, Very satisfied
9/21/2021,-15.3380895,35.3862005,GPS,Zomba,Malemia,Chisutu,Chisutu,Stepping-up,31,Female,Yes,Primary,Divorced,Muslim, Business or trading activities,"Below K100,000",3,Borehole or tubewell,Functional,NA,No,NA,NA,5,No,NA,2,Yes ,NA,NA,NA,NA,100,NA,1500, Satisfied, Satisfied, Satisfied, Satisfied, Satisfied
9/21/2021,-15.3378164,35.3866853,GPS,Zomba,Malemia,Chisutu,Chisutu,Hanging-in,22,Male ,Yes,Primary,Married ,Muslim, Income from piecework or ganyu,"Below K100,000",11,Borehole or tubewell,Functional,NA,No,NA,NA,60,Yes,"October, November",2,Yes ,NA,NA,NA,NA,200,NA,350, Satisfied, Satisfied, Dissatisfied, Satisfied, Very satisfied
9/21/2021,-15.3378473,35.3864216,GPS,Zomba,Malemia,Chisutu,Chisutu,Hanging-in,20,Female,No,NA,Single,Muslim, Income from piecework or ganyu,"Below K100,000",2,Borehole or tubewell,Functional,NA,No,NA,NA,10,No,NA,3,No,Other,We used to pay monthly but most people did not want to pay so we just stopped. We only pay when there is a breakdown, Contribute to maintain,Yes ,NA,NA,NA, Very satisfied, Very satisfied, Very satisfied, Satisfied, Very satisfied
9/21/2021,-15.3389846,35.3865561,GPS,Zomba,Malemia,Chisutu,Chisutu,Hanging-in,54,Female,Yes,Primary,Divorced,Christian, Income from piecework or ganyu,"Below K100,000",3,Borehole or tubewell,Functional,NA,No,NA,NA,30,Yes,October,5,Yes ,NA,NA,NA,NA,50,NA,NA, Very satisfied, Very satisfied, Satisfied, Satisfied, Dissatisfied
9/21/2021,-15.3376172,35.3862467,GPS,Zomba,Malemia,Chisutu,Chisutu,Stepping-up,21,Female,No,NA,Widowed,Muslim,Farming,"Below K100,000",4,Borehole or tubewell,Functional,NA,No,NA,NA,5,No,NA,3,No,Service provider (e.g. committee) has had no training,NA, Contribute to maintain,Yes ,NA,NA,NA, Satisfied, Satisfied, Very satisfied, Neither satisfied nor dissatisfied, Very satisfied
9/21/2021,-15.3380479,35.3855307,GPS,Zomba,Malemia,Chisutu,Chisutu,Stepping-up,71,Female,No,NA,Married ,Muslim,Farming,"Below K100,000",4,Borehole or tubewell,Functional,NA,No,NA,NA,3,No,NA,7,Yes ,NA,NA,NA,NA,200,NA,5000, Satisfied, Satisfied, Satisfied, Somewhat satisfied, Very satisfied
9/21/2021,-15.3380698,35.3860368,GPS,Zomba,Malemia,Chisutu,Chisutu,Hanging-in,58,Male ,Yes,Primary,Married ,Muslim, Income from piecework or ganyu,"Below K100,000",5,Borehole or tubewell,Functional,NA,No,NA,NA,10,No,NA,10,Yes ,NA,NA,NA,NA,100,NA,500, Very satisfied, Dissatisfied, Dissatisfied, Dissatisfied, Very satisfied
9/21/2021,-15.3346198,35.375196,GPS,Zomba,Malemia,Chisutu,Chisutu,Stepping-up,67,Female,Yes,Primary,Married ,Christian, Income from piecework or ganyu,"Below K100,000",6,Piped supply, Partially functional but in need of repair,NA,Yes,Broken parts,NA,5,Yes,October,5,Yes ,NA,NA,NA,NA,250,NA,2000, Satisfied, Very satisfied, Somewhat satisfied, Satisfied, Very satisfied
9/21/2021,-15.3391337,35.3864977,GPS,Zomba,Malemia,Chisutu,Chisutu,Stepping-up,55,Female,Yes,Primary,Widowed,Muslim, Income from piecework or ganyu,"Below K100,000",5,Piped supply,Functional,NA,No,NA,NA,10,No,NA,5,Yes ,NA,NA,NA,NA,300,NA,1500, Very satisfied, Very satisfied, Somewhat satisfied, Satisfied, Very satisfied
9/21/2021,-15.3392372,35.386974,GPS,Zomba,Malemia,Chisutu,Chisutu,Stepping-up,61,Female,Yes,Primary,Divorced,Muslim, Income from piecework or ganyu,"Below K100,000",2,Borehole or tubewell,Functional,NA,No,NA,NA,10,No,NA,5,Yes ,NA,NA,NA,NA,200,NA,2000, Satisfied, Somewhat satisfied, Satisfied, Satisfied, Satisfied
9/21/2021,-15.3400396,35.3871538,GPS,Zomba,Malemia,Chisutu,Chisutu,Stepping-up,50,Male ,Yes,Primary,Married ,Muslim, Income from piecework or ganyu,"Below K100,000",5,Borehole or tubewell,Functional,NA,No,NA,NA,20,No,NA,4,Yes ,NA,NA,NA,NA,300,NA,2000, Very satisfied, Somewhat satisfied, Satisfied, Very satisfied, Dissatisfied
9/21/2021,-15.3367963,35.3783913,GPS,Zomba,Malemia,Chisutu,Chisutu,Stepping-up,8,Female,Yes,Primary,Married ,Muslim,Farming,"Below K100,000",7,Piped supply,Functional,NA,No,NA,NA,60,Yes,"October, November",2,Yes ,NA,NA,NA,NA,100,NA,400, Satisfied, Satisfied, Satisfied, Very satisfied, Very satisfied
9/21/2021,-15.3370874,35.3780269,GPS,Zomba,Malemia,Chisutu,Chisutu,Stepping-out,10,Female,Yes,Primary,Married ,Muslim, Income from piecework or ganyu,"Below K100,000",5,Borehole or tubewell,Functional,NA,No,NA,NA,15,No,NA,3,Yes ,NA,NA,NA,NA,200,NA,3000, Satisfied, Satisfied, Satisfied, Very satisfied, Very satisfied
9/21/2021,-15.3374772,35.3794826,GPS,Zomba,Malemia,Chisutu,Chisutu,Stepping-up,12,Female,Yes,Primary,Widowed,Christian,Farming,"Below K100,000",5,Piped supply, Partially functional but in need of repair,NA,Yes,Broken parts,NA,3,Yes,October,1,Yes ,NA,NA,NA,NA,200,NA,500, Dissatisfied, Satisfied, Satisfied, Very satisfied, Very satisfied
9/21/2021,-15.3394956,35.3881176,GPS,Zomba,Malemia,Chisutu,Chisutu,Well-off,76,Male ,Yes,Vocational,Married ,Christian, Wages or salary from formal employment,"Below K100,000",3,Piped supply,Functional,NA,No,NA,NA,10,No,NA,5,Yes ,NA,NA,NA,NA,2000,NA,2000, Neither satisfied nor dissatisfied, Neither satisfied nor dissatisfied, Neither satisfied nor dissatisfied, Neither satisfied nor dissatisfied, Very satisfied
9/21/2021,-15.3371674,35.3792175,GPS,Zomba,Malemia,Chisutu,Chisutu,Stepping-up,5,Female,Yes,Primary,Single,Christian, Income from piecework or ganyu,"Below K100,000",5,Borehole or tubewell, Partially functional but in need of repair,NA,Yes, Worn out parts,NA,40,Yes,October,2,No,Other,They stopped paying because borehole was not breaking down , Contribute to maintain,No,NA,NA,NA, Neither satisfied nor dissatisfied, Neither satisfied nor dissatisfied, Neither satisfied nor dissatisfied, Neither satisfied nor dissatisfied, Neither satisfied nor dissatisfied
9/22/2021,-15.3411072,35.3830844,GPS,Zomba,Malemia,Chisutu,Chisutu,Stepping-out,45,Female,Yes,Primary,Married ,Christian,Farming,"Below K100,000",4,Borehole or tubewell,Functional,NA,No,NA,NA,20,No,NA,10,Yes ,NA,NA,NA,NA,200,NA,5000, Satisfied, Satisfied, Satisfied, Satisfied, Somewhat satisfied
9/21/2021,-15.3376446,35.3803039,GPS,Zomba,Malemia,Chisutu,Chisutu,Hanging-in,68,Female,Yes,Primary,Single,Christian, Income from piecework or ganyu,"Below K100,000",3,Piped supply,Functional,NA,No,NA,NA,10,Yes,"October, September",3,Yes ,NA,NA,NA,NA,500,NA,500, Very satisfied, Very satisfied, Satisfied, Very satisfied, Very satisfied
9/21/2021,-15.3388856,35.3857056,GPS,Zomba,Malemia,Chisutu,Chisutu,Stepping-up,42,Female,Yes,Primary,Married ,Muslim, Income from piecework or ganyu,"Below K100,000",4,Borehole or tubewell,Functional,NA,No,NA,NA,30,No,NA,0,Yes ,NA,NA,NA,NA,200,NA,1000, Satisfied, Satisfied, Satisfied, Very satisfied, Very satisfied
9/21/2021,-15.3386303,35.3856632,GPS,Zomba,Malemia,Chisutu,Chisutu,Stepping-up,43,Female,No,NA,Married ,Muslim, Income from piecework or ganyu, Don’t know/Don't remember,6,Borehole or tubewell,Functional,NA,No,NA,NA,3,Yes,"October, November",3,No,Service provider (e.g. committee) has had no training,NA, Contribute to maintain,Yes ,NA,NA,NA, Somewhat satisfied, Somewhat satisfied, Somewhat satisfied, Somewhat dissatisfied, Very satisfied
9/21/2021,-15.2599889,35.4501987,GPS,Zomba,Kuntumanji,Bamusi,Issa,Stepping-up,6,Male ,Yes,Primary,Married ,Christian,Farming,"Below K100,000",5,Borehole or tubewell,Functional,NA,No,NA,NA,120,No,NA,1,Yes ,NA,NA,NA,NA,500,NA,NA, Satisfied, Neither satisfied nor dissatisfied, Very satisfied, Somewhat satisfied, Very satisfied
9/21/2021,-15.2571834,35.4504984,GPS,Zomba,Kuntumanji,Bamusi,Issa,Stepping-up,41,Female,Yes,Primary,Married ,Christian, Business or trading activities,"Below K100,000",6,Borehole or tubewell,Functional,NA,Yes, Worn out parts,NA,120,No,NA,5,Yes ,NA,NA,NA,NA,500,NA,15000, Somewhat satisfied, Very satisfied, Very satisfied, Satisfied, Very satisfied
9/21/2021,-15.2593825,35.4455985,GPS,Zomba,Kuntumanji,Bamusi,Issa,Stepping-up,27,Female,Yes,Primary,Married ,Christian, Income from piecework or ganyu,"Below K100,000",3,Borehole or tubewell,Functional,NA,No,NA,NA,50,No,NA,1,No,Other,Only when broken , Contribute to maintain,No,NA,NA,NA, Satisfied, Very satisfied, Very satisfied, Very satisfied, Very satisfied
9/21/2021,-15.2568953,35.4506545,GPS,Zomba,Kuntumanji,Bamusi,Issa,Hanging-in,37,Female,Yes,Primary,Married ,Christian, Income from piecework or ganyu,"Below K100,000",6,Borehole or tubewell,Functional,NA,No,NA,NA,60,No,NA,4,Yes ,NA,NA,NA,NA,500,NA,10000, Very satisfied, Very satisfied, Very satisfied, Very satisfied, Very satisfied
9/21/2021,-15.2591387,35.4446767,GPS,Zomba,Kuntumanji,Bamusi,Issa,Hanging-in,48,Female,No,NA,Married ,Christian, Income from piecework or ganyu,"Below K100,000",5,Borehole or tubewell,Functional,NA,No,NA,NA,10,No,NA,6,No,Other,Lack of money, Contribute to maintain,Yes ,NA,NA,NA, Satisfied, Satisfied, Very satisfied, Satisfied, Very satisfied
9/21/2021,-15.257938,35.4485845,GPS,Zomba,Kuntumanji,Bamusi,Issa,Stepping-up,11,Male ,Yes,Primary,Married ,Muslim, Income from piecework or ganyu,"Below K100,000",7,Borehole or tubewell,Functional,NA,No,NA,NA,30,No,NA,6,No,Other,It's hard for the people to be contributing money on monthly basis because they cannt manage to get the money monthly, Contribute to maintain,Yes ,NA,NA,NA, Satisfied, Somewhat satisfied, Dissatisfied, Somewhat satisfied, Very satisfied
9/21/2021,-15.2589791,35.446863,GPS,Zomba,Kuntumanji,Bamusi,Issa,Stepping-up,50,Female,Yes,Primary,Married ,Muslim, Business or trading activities,"Below K100,000",6,Borehole or tubewell,Functional,NA,No,NA,NA,120,No,NA,10,Yes ,NA,NA,NA,NA,1000,NA,500, Very satisfied, Very satisfied, Very satisfied, Very satisfied, Somewhat satisfied
9/21/2021,-15.2596335,35.4472747,GPS,Zomba,Kuntumanji,Bamusi,Issa,Stepping-up,49,Male ,Yes,Secondary,Married ,Christian,Farming,"Below K100,000",17,Borehole or tubewell,Functional,NA,No,NA,NA,30,No,NA,2,No,Other,Only when broken , Contribute to maintain,No,NA,NA,NA, Satisfied, Very satisfied, Very satisfied, Very satisfied, Very satisfied
9/21/2021,-15.2554997,35.4505245,GPS,Zomba,Kuntumanji,Bamusi,Issa,Stepping-up,56,Female,Yes,Primary,Married ,Christian, Business or trading activities,"Below K100,000",6,Borehole or tubewell,Functional,NA,No,NA,NA,15,No,NA,2,Yes ,NA,NA,NA,NA,500,NA,2000, Very satisfied, Satisfied, Dissatisfied, Satisfied, Very satisfied
9/21/2021,-15.4829286,35.2860977,GPS,Zomba,Chikowi,Matache,Kukanga,Stepping-up,100,Female,No,NA,Married ,Muslim, Income from piecework or ganyu,"Below K100,000",9, Unprotected dug well,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Other,NA, Don't know,Yes ,NA,NA,NA, Neither satisfied nor dissatisfied, Neither satisfied nor dissatisfied, Neither satisfied nor dissatisfied, Neither satisfied nor dissatisfied, Neither satisfied nor dissatisfied
9/21/2021,-15.2595041,35.4478886,GPS,Zomba,Kuntumanji,Bamusi,Issa,Hanging-in,71,Female,Yes,Primary,Widowed,Christian, Income from piecework or ganyu,"Below K100,000",5,Borehole or tubewell,Functional,NA,No,NA,NA,5,No,NA,6,No,Other,"People only get money once in a year hence annual contribution and buy needed parts, so when breakdown they simply use the parts", Contribute to maintain,Yes ,NA,NA,NA, Satisfied, Satisfied, Satisfied, Satisfied, Satisfied
9/21/2021,-14.724852,35.3640056,GPS,Mangochi,Chiunda,Chimesya,Chimesya 2,Stepping-up,105,Male ,Yes,Secondary,Single,Christian, Income from piecework or ganyu,"Below K100,000",2, Unprotected dug well,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Other,No need to contribute , Never experience breakdown,Don't know ,NA,NA,NA, Neither satisfied nor dissatisfied, Neither satisfied nor dissatisfied, Neither satisfied nor dissatisfied, Neither satisfied nor dissatisfied, Somewhat satisfied
9/21/2021,-14.725578,35.3679061,GPS,Mangochi,Chiunda,Chimesya,Chimesya 2,Hanging-in,52,Female,No,NA,Widowed,Muslim,Farming,"Below K100,000",2,Borehole or tubewell, Partially functional but in need of repair,NA,No,NA,NA,25,No,NA,3,Yes ,NA,NA,NA,NA,100,NA,200, Somewhat satisfied, Satisfied, Satisfied, Satisfied, Very satisfied
9/21/2021,-14.7279604,35.369384,GPS,Mangochi,Chiunda,Chimesya,Chimesya 2,Stepping-up,5,Male ,No,NA,Married ,Christian,Farming,"Below K100,000",5,Borehole or tubewell, Partially functional but in need of repair,NA,Yes," Poor water quality - Salty,  Worn out parts",NA,10,No,NA,8,Yes ,NA,NA,NA,NA,100,NA,200, Somewhat satisfied, Somewhat satisfied, Satisfied, Satisfied, Somewhat satisfied
9/21/2021,-14.7215203,35.3485998,GPS,Mangochi,Chiunda,Chimesya,Alimamu,Stepping-up,46,Male ,No,NA,Married ,Christian,Farming,"Below K100,000",4, Unprotected dug well,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Other,No need for contribution , Never experience breakdown,Yes ,NA,NA,NA, Somewhat satisfied, Somewhat dissatisfied, Somewhat dissatisfied, Somewhat dissatisfied, Satisfied
9/21/2021,-14.7270077,35.3676667,GPS,Mangochi,Chiunda,Chimesya,Chimesya 2,Stepping-up,45,Female,No,NA,Married ,Muslim,Farming,"Below K100,000",3,Borehole or tubewell,Functional,NA,No,NA,NA,10,No,NA,4,Yes ,NA,NA,NA,NA,100,NA,150, Satisfied, Satisfied, Satisfied, Satisfied, Satisfied
9/21/2021,-14.7221421,35.3430225,GPS,Mangochi,Chiunda,Chimesya,Alimamu,Stepping-up,8,Female,No,NA,Married ,Christian,Farming,"Below K100,000",6, Unprotected dug well,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Other,No need , Never experience breakdown,Yes ,NA,NA,NA, Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied, Somewhat dissatisfied
9/21/2021,-14.7900367,35.4644836,GPS,Mangochi,Chiunda,Gulumba,Wokiwa,Stepping-up,3,Female,No,NA,Widowed,Muslim,Farming,"Below K100,000",5,Borehole or tubewell,Functional,NA,No,NA,NA,30,No,NA,5,Yes ,NA,NA,NA,NA,150,NA,200, Satisfied, Satisfied, Satisfied, Satisfied, Very satisfied
9/21/2021,-14.7208209,35.3549178,GPS,Mangochi,Chiunda,Chimesya,Alimamu,Stepping-up,21,Female,No,NA,Single,Christian,Farming,"Below K100,000",9, Unprotected dug well,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Other,No need, Never experience breakdown,No,NA,NA,NA,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied, Dissatisfied
9/21/2021,-15.4864378,35.2875283,GPS,Zomba,Chikowi,Matache,Kukanga,Stepping-up,13,Female,Yes,Primary,Married ,Muslim, Income from piecework or ganyu,"Below K100,000",6,Borehole or tubewell, Partially functional but in need of repair,NA,Yes, Low water flow - Low water pressure,NA,10,Yes,October,5,Yes ,NA,NA,NA,NA,200,NA,500, Satisfied, Very satisfied, Satisfied, Satisfied, Satisfied
9/21/2021,-14.79033,35.4648795,GPS,Mangochi,Chiunda,Gulumba,Wokiwa,Stepping-up,8,Female,No,NA,Single,Muslim, Income from piecework or ganyu,"Below K100,000",4,Borehole or tubewell,Functional,NA,No,NA,NA,35,No,NA,4,Yes ,NA,NA,NA,NA,150,NA,200, Very satisfied, Somewhat satisfied, Very satisfied, Very satisfied, Very satisfied
9/21/2021,-14.7902989,35.4647395,GPS,Mangochi,Chiunda,Gulumba,Wokiwa,Hanging-in,44,Female,No,NA,Married ,Muslim,Farming,"Below K100,000",3,Borehole or tubewell,Functional,NA,No,NA,NA,30,No,NA,5,Yes ,NA,NA,NA,NA,150,NA,150, Satisfied, Satisfied, Satisfied, Satisfied, Very satisfied
9/21/2021,-14.7846222,35.4496711,GPS,Mangochi,Chiunda,Gulumba,Chilipa,Hanging-in,32,Female,Yes,Primary,Married ,Muslim,Farming,"Below K100,000",8,Borehole or tubewell, Partially functional but in need of repair,NA,Yes, Worn out parts,NA,30,No,NA,10,Yes ,NA,NA,NA,NA,200,NA,200, Satisfied, Satisfied, Satisfied, Satisfied, Satisfied
9/21/2021,-14.7839698,35.4526635,GPS,Mangochi,Chiunda,Gulumba,Chilipa,Hanging-in,3,Female,No,NA,Divorced,Muslim,Farming,"Below K100,000",4,Borehole or tubewell, Partially functional but in need of repair,NA,Yes, Worn out parts,NA,10,No,NA,7,Yes ,NA,NA,NA,NA,200,NA,200, Satisfied, Satisfied, Satisfied, Satisfied, Very satisfied
9/21/2021,-14.778828,35.4494735,GPS,Mangochi,Chiunda,Gulumba,Chilipa,Hanging-in,20,Male ,No,NA,Married ,Muslim,Farming,"Below K100,000",4,Borehole or tubewell,Functional,NA,No,NA,NA,10,No,NA,7,No,Other,Negligence , Contribute to maintain,Yes ,NA,NA,NA, Satisfied, Dissatisfied, Satisfied, Satisfied, Neither satisfied nor dissatisfied
9/21/2021,-14.7905837,35.4636321,GPS,Mangochi,Chiunda,Gulumba,Wokiwa,Stepping-up,10,Female,Yes,Primary,Married ,Muslim,Farming,"Below K100,000",5,Borehole or tubewell,Functional,NA,No,NA,NA,35,No,NA,2,Yes ,NA,NA,NA,NA,150,NA,150, Satisfied, Satisfied, Satisfied, Very satisfied, Very satisfied
9/21/2021,-15.2378421,35.4614368,GPS,Zomba,Kuntumanji,Bamusi,Mbela Ndumba,Stepping-out,29,Female,No,NA,Married ,Muslim, Business or trading activities,"Below K100,000",6,Borehole or tubewell,Functional,NA,No,NA,NA,3,No,NA,6,No,Service provider (e.g. committee) has had no training,NA, Contribute to maintain,Yes ,NA,NA,NA, Satisfied, Satisfied, Satisfied, Satisfied, Satisfied
9/21/2021,-15.4872375,35.2862321,GPS,Zomba,Chikowi,Matache,Kukanga,Stepping-up,44,Female,Yes,Primary,Divorced,Muslim, Income from piecework or ganyu,"Below K100,000",4,Borehole or tubewell, Partially functional but in need of repair,NA,Yes, Low water flow - Low water pressure,NA,30,Yes,October,7,Yes ,NA,NA,NA,NA,200,NA,500, Satisfied, Satisfied, Satisfied, Satisfied, Somewhat satisfied
9/21/2021,-15.2373911,35.4624891,GPS,Zomba,Kuntumanji,Bamusi,Mbela Ndumba,Stepping-up,1,Female,No,NA,Single,Muslim,Farming,"Below K100,000",3,Borehole or tubewell,Functional,NA,No,NA,NA,10,No,NA,2,No,Other,There is no agreement to pay monthly, Contribute to maintain,Yes ,NA,NA,NA, Satisfied, Satisfied, Dissatisfied, Very satisfied, Very satisfied
9/21/2021,-15.2383984,35.4657843,GPS,Zomba,Kuntumanji,Bamusi,Mbela Ndumba,Stepping-up,7,Male ,Yes,Primary,Married ,Muslim, Income from piecework or ganyu,"Below K100,000",7,Borehole or tubewell,Functional,NA,No,NA,NA,60,Yes,"October, November",4,No,Other,Only when broken , Contribute to maintain,Yes ,NA,NA,NA, Very satisfied, Very satisfied, Very satisfied, Very satisfied, Very satisfied
9/21/2021,-15.4874802,35.2863288,GPS,Zomba,Chikowi,Matache,Kukanga,Stepping-up,94,Female,Yes,Primary,Married ,Muslim, Income from piecework or ganyu,"Below K100,000",4,Borehole or tubewell, Partially functional but in need of repair,NA,Yes, Low water flow - Low water pressure,NA,30,Yes,October,7,Yes ,NA,NA,NA,NA,200,NA,500, Satisfied, Satisfied, Satisfied, Satisfied, Satisfied
9/21/2021,-15.2392186,35.4620106,GPS,Zomba,Kuntumanji,Bamusi,Mbela Ndumba,Stepping-up,41,Female,Yes,Primary,Divorced,Muslim, Income from piecework or ganyu,"Below K100,000",7,Borehole or tubewell,Functional,NA,No,NA,NA,5,Yes,October,4,No,Other,The owner of the borehole is a relative to her hence no need to pay any fee., Contribute to maintain,Yes ,NA,NA,NA, Very satisfied, Very satisfied, Very satisfied, Very satisfied, Very satisfied
9/21/2021,-15.2382771,35.4655997,GPS,Zomba,Kuntumanji,Bamusi,Mbela Ndumba,Hanging-in,9,Female,Yes,Has no formal education,Divorced,Muslim, Income from piecework or ganyu,"Below K100,000",5,Borehole or tubewell,Functional,NA,No,NA,NA,10,No,NA,5,Yes ,NA,NA,NA,NA,1000,NA,200, Very satisfied, Very satisfied, Satisfied, Dissatisfied, Satisfied
9/21/2021,-15.2399163,35.4623167,GPS,Zomba,Kuntumanji,Bamusi,Mbela Ndumba,Stepping-up,82,Female,Yes,Primary,Married ,Muslim, Income from piecework or ganyu,"Below K100,000",3,Borehole or tubewell,Functional,NA,No,NA,NA,40,Yes,October,6,Yes ,NA,NA,NA,NA,500,NA,4000, Satisfied, Somewhat satisfied, Somewhat dissatisfied, Dissatisfied, Satisfied
9/21/2021,-15.2371452,35.4621678,GPS,Zomba,Kuntumanji,Bamusi,Mbela Ndumba,Stepping-out,12,Female,Yes,Primary,Married ,Muslim, Income from piecework or ganyu,"Below K100,000",5,Borehole or tubewell,Functional,NA,No,NA,NA,20,No,NA,5,Yes ,NA,NA,NA,NA,500,NA,300, Very satisfied, Very satisfied, Very satisfied, Very satisfied, Very satisfied
9/21/2021,-15.4879476,35.2860365,GPS,Zomba,Chikowi,Matache,Kukanga,Stepping-up,46,Female,Yes,Primary,Married ,Muslim,Farming,"Below K100,000",3,Borehole or tubewell,Functional,NA,No,NA,NA,40,No,NA,4,Yes ,NA,NA,NA,NA,200,NA,400, Satisfied, Satisfied, Satisfied, Satisfied, Satisfied
9/21/2021,-15.2390335,35.4637922,GPS,Zomba,Kuntumanji,Bamusi,Mbela Ndumba,Hanging-in,128,Female,Yes,Primary,Widowed,Muslim, Income from piecework or ganyu,"Below K100,000",6,Borehole or tubewell,Functional,NA,No,NA,NA,10,Yes,"October, September",6,Yes ,NA,NA,NA,NA,500,NA,500, Satisfied, Satisfied, Satisfied, Dissatisfied, Very satisfied
9/21/2021,-15.2378484,35.4626053,GPS,Zomba,Kuntumanji,Bamusi,Mbela Ndumba,Stepping-up,4,Female,Yes,Primary,Married ,Muslim,Farming,"Below K100,000",6,Borehole or tubewell,Functional,NA,No,NA,NA,10,No,NA,3,No,Other,committee did not put in place a rule to be paying monthly, Contribute to maintain,Yes ,NA,NA,NA, Very satisfied, Very satisfied, Very satisfied, Satisfied, Very satisfied
9/21/2021,-15.2363745,35.4676499,GPS,Zomba,Kuntumanji,Bamusi,Mbela Ndumba,Stepping-up,58,Female,Yes,Primary,Divorced,Muslim,Farming,"Below K100,000",3,Borehole or tubewell,Functional,NA,No,NA,NA,5,No,NA,5,Yes ,NA,NA,NA,NA,500,NA,500, Very satisfied, Very satisfied, Very satisfied, Dissatisfied, Very satisfied
9/21/2021,-15.2406392,35.4646593,GPS,Zomba,Kuntumanji,Bamusi,Mbela Ndumba,Stepping-up,48,Female,Yes,Primary,Divorced,Muslim, Income from piecework or ganyu,"Below K100,000",4,Borehole or tubewell,Functional,NA,No,NA,NA,60,No,NA,3,No, Service provider has more than enough money saved for maintenance,NA, Contribute to maintain,Yes ,NA,NA,NA, Satisfied, Satisfied, Satisfied, Satisfied, Satisfied
9/21/2021,-15.4858394,35.2870841,GPS,Zomba,Chikowi,Matache,Kukanga,Stepping-up,39,Female,Yes,Primary,Married ,Christian, Income from piecework or ganyu,"Below K100,000",8,Borehole or tubewell,Functional,NA,No,NA,NA,15,No,NA,9,Yes ,NA,NA,NA,NA,500,NA,200, Satisfied, Satisfied, Satisfied, Satisfied, Satisfied
9/21/2021,-15.2365363,35.4687533,GPS,Zomba,Kuntumanji,Bamusi,Mbela Ndumba,Stepping-out,110,Male ,Yes,Primary,Married ,Christian,Farming,"Below K100,000",2,Borehole or tubewell,Functional,NA,No,NA,NA,40,No,NA,2,No,Other,Only when broken , Contribute to maintain,No,NA,NA,NA, Very satisfied, Very satisfied, Very satisfied, Very satisfied, Very satisfied
9/21/2021,-15.4859059,35.2876986,GPS,Zomba,Chikowi,Matache,Kukanga,Stepping-out,138,Female,Yes,Primary,Married ,Muslim, Income from piecework or ganyu,"Below K100,000",5,Borehole or tubewell,Functional,NA,No,NA,NA,20,No,NA,4,Yes ,NA,NA,NA,NA,300,NA,500, Satisfied, Satisfied, Satisfied, Satisfied, Satisfied
9/21/2021,-15.2364176,35.4688044,GPS,Zomba,Kuntumanji,Bamusi,Mbela Ndumba,Stepping-up,74,Female,Yes,Primary,Divorced,Christian, Income from piecework or ganyu,"Below K100,000",5,Borehole or tubewell,Functional,NA,Yes, Poor water quality - Salty,NA,5,No,NA,2,Yes ,NA,NA,NA,NA,500,NA,1000, Somewhat satisfied, Very satisfied, Satisfied, Somewhat satisfied, Satisfied
9/21/2021,-15.4850948,35.2881029,GPS,Zomba,Chikowi,Matache,Kukanga,Stepping-up,34,Female,Yes,Primary,Widowed,Christian, Income from piecework or ganyu,"Below K100,000",4,Borehole or tubewell,Functional,NA,No,NA,NA,20,No,NA,4,Yes ,NA,NA,NA,NA,200,NA,400, Satisfied, Satisfied, Satisfied, Satisfied, Satisfied
